city name,lat,lon,temp,humidity,cloudiness,wind speed
budhlada,29.9333,75.5667,301.09,44,overcast clouds,4.59
severo-kurilsk,50.6789,156.125,283.67,56,clear sky,3.3
mataura,-46.1927,168.8643,284.53,98,light rain,3.49
upernavik,72.7868,-56.1549,273.29,77,overcast clouds,3.42
kungurtug,50.5994,97.5228,283.72,75,overcast clouds,1.59
kapaa,22.0752,-159.319,302.14,77,light rain,1.79
luwuk,-0.9516,122.7875,301.81,71,scattered clouds,2.72
hermanus,-34.4187,19.2345,287.54,63,clear sky,1.67
santa isabel,-23.3156,-46.2214,290.57,93,broken clouds,0.96
sorland,67.667,12.6934,278.56,88,overcast clouds,10.93
baker city,44.7749,-117.8344,287.37,35,clear sky,6.17
tual,-5.6667,132.75,301.46,79,overcast clouds,8.59
atar,20.5169,-13.0499,304.95,17,clear sky,6.28
port-gentil,-0.7193,8.7815,300.19,77,overcast clouds,1.94
hasaki,35.7333,140.8333,290.53,90,overcast clouds,3.96
qaanaaq,77.484,-69.3632,273.49,95,snow,4.26
ancud,-41.8697,-73.8203,284.5,65,overcast clouds,4.89
punta arenas,-53.15,-70.9167,279.21,89,overcast clouds,1.84
abashiri,44.0213,144.2697,292.31,61,few clouds,5.26
prachin buri,14.0833,101.6667,302.37,76,overcast clouds,1.0
kaitangata,-46.2817,169.8464,286.44,94,overcast clouds,4.72
araouane,18.9048,-3.5265,309.62,13,scattered clouds,4.43
bethel,41.3712,-73.414,295.94,74,overcast clouds,2.2
faanui,-16.4833,-151.75,301.03,73,few clouds,9.66
fortuna,40.5982,-124.1573,293.25,62,overcast clouds,4.02
ribeira grande,38.5167,-28.7,291.61,92,overcast clouds,9.92
praia da vitoria,38.7333,-27.0667,293.29,83,few clouds,8.42
rikitea,-23.1203,-134.9692,296.85,63,clear sky,7.94
bakal,54.9417,58.8083,283.51,86,few clouds,2.51
tuatapere,-46.1333,167.6833,284.72,94,overcast clouds,4.39
nyurba,63.2842,118.3319,276.93,30,broken clouds,1.49
albany,42.6001,-73.9662,296.51,75,overcast clouds,2.65
vaini,-21.2,-175.2,300.24,83,scattered clouds,3.09
miri,4.4148,114.0089,301.23,83,scattered clouds,1.85
yellowknife,62.456,-114.3525,276.44,38,scattered clouds,6.17
arraial do cabo,-22.9661,-42.0278,295.34,69,broken clouds,5.73
santarem,-2.4431,-54.7083,298.22,94,clear sky,2.06
new norfolk,-42.7826,147.0587,288.52,70,overcast clouds,2.68
port alfred,-33.5906,26.891,292.68,37,overcast clouds,5.46
vila franca do campo,37.7167,-25.4333,292.38,95,overcast clouds,3.52
cape town,-33.9258,18.4232,287.66,67,clear sky,3.11
bletchley,51.9933,-0.7347,283.37,97,overcast clouds,3.33
san cristobal,7.7669,-72.225,295.25,94,scattered clouds,1.07
fairbanks,64.8378,-147.7164,290.13,31,broken clouds,5.66
ushuaia,-54.8,-68.3,280.96,93,light rain,2.06
muli,2.9167,73.5667,301.7,74,clear sky,4.28
iqaluit,63.7506,-68.5145,269.0,62,broken clouds,6.71
avarua,-21.2078,-159.775,300.18,89,broken clouds,6.17
xining,36.6167,101.7667,283.4,52,clear sky,1.6
hutchinson,38.0608,-97.9298,292.23,87,overcast clouds,3.09
kruisfontein,-34.0033,24.7314,290.52,29,clear sky,5.1
thunder bay,48.4001,-89.3168,290.14,59,clear sky,5.14
vedea,43.7833,25.7833,287.01,69,clear sky,6.66
ponta do sol,32.6667,-17.1,292.99,67,clear sky,2.06
chapais,49.7834,-74.8492,286.03,83,overcast clouds,3.18
den helder,52.9599,4.7593,283.16,93,scattered clouds,2.57
nikolayevka,53.1257,47.2041,289.57,65,broken clouds,3.12
mahebourg,-20.4081,57.7,294.96,79,light rain,3.53
mildura,-34.2,142.15,288.13,55,overcast clouds,3.09
westport,41.1415,-73.3579,297.01,55,broken clouds,3.41
arkhipo-osipovka,44.37,38.52,287.51,97,heavy intensity rain,7.32
east london,-33.0153,27.9116,293.19,34,clear sky,3.9
meulaboh,4.1363,96.1285,298.9,79,overcast clouds,2.17
skerries,53.5828,-6.1083,281.58,88,clear sky,6.09
